NAICS  Code,Kind of Business,Jan. 1993,Feb. 1993,Mar. 1993,Apr. 1993,May-93,Jun. 1993,Jul. 1993,Aug. 1993,Sep. 1993,Oct. 1993,Nov. 1993,Dec. 1993
45291,Warehouse clubs and superstores,"2,878","2,885","3,260","3,454","3,772","3,667","3,742","3,792","3,699","4,081","4,726","6,672"
45299,All other gen. merchandise stores,"2,055","2,134","2,395","2,572","2,680","2,550","2,589","2,581","2,454","2,576","2,912","4,185"
453,Miscellaneous store retailers,"4,350","4,302","4,305","4,804","5,177","5,340","5,087","5,255","5,110","5,261","5,092","7,462"
4532,"Office supplies, stationery, and gift stores","1,632","1,651","1,620","1,773","1,852","1,887","1,873","1,996","1,913","1,949","2,210","3,520"
45321,Office supplies and stationery stores,875,825,832,813,846,894,883,"1,004",981,961,"1,038","1,175"
45322,"Gift, novelty, and souvenir stores",757,826,788,960,"1,006",993,990,992,932,988,"1,172","2,345"
45330,Used merchandise stores,403,431,414,415,443,710,527,617,500,543,487,646
454,Nonstore retailers,"6,723","6,620","7,481","6,606","6,497","5,904","5,813","6,201","7,099","7,786","9,151","9,930"
4541,Electronic shopping and mail-order houses,"3,057","2,739","3,299","2,962","2,791","2,667","2,621","2,895","3,280","3,869","4,955","5,542"
45431,Fuel dealers,"1,893","1,885","1,901","1,300","1,099","1,058","1,018","1,105","1,203","1,436","1,658","2,010"
722,Food services and drinking places,"16,201","15,625","17,414","17,841","18,712","18,571","19,092","19,329","18,108","18,745","17,463","18,366"
7224,Drinking places,959,920,"1,019","1,056","1,057","1,017","1,096","1,052",971,"1,033",978,983
7225,Restaurants and other eating places,"13,975","13,460","15,017","15,351","16,070","15,993","16,469","16,699","15,622","16,150","15,051","15,862"
722511,Full service restaurants,"6,830","6,675","7,297","7,486","7,868","7,783","8,019","8,292","7,699","8,015","7,418","7,740"
"722513, 722514, 722515",Limited service eating places,"7,145","6,785","7,720","7,865","8,202","8,210","8,450","8,407","7,923","8,135","7,633","8,122"
