NAICS  Code,Kind of Business,Jan. 2006,Feb. 2006,Mar. 2006,Apr. 2006,May 2006,Jun. 2006,Jul. 2006,Aug. 2006,Sep. 2006,Oct. 2006,Nov. 2006,Dec. 2006
4529,Other general merchandise stores,"24,634",24737,26782,"27,438","28,389","28,052","27,916","28,188","26,813","28,032","30,662","39,458"
45291,Warehouse clubs and superstores,"21,710","21,697","23,380","24,005","24,820","24,528","24,545","24,737","23,513","24,515","26,605","33,901"
45299,All other gen. merchandise stores,"2,924","3,040","3,402","3,433","3,569","3,524","3,371","3,451","3,300","3,517","4,057","5,557"
453,Miscellaneous store retailers,"8,671","8,550","9,088","8,735","10,156","9,624","8,970","9,663","9,242","9,512","9,621","11,862"
4532,"Office supplies, stationery, and gift stores","3,146","3,133","3,137","2,824","3,175","3,080","3,097","3,777","3,450","3,590","3,672","5,209"
45321,Office supplies and stationery stores,"2,156","1,870","1,936","1,599","1,735","1,650","1,614","2,285","2,031","1,793","1,875","2,244"
45322,"Gift, novelty, and souvenir stores",990,"1,263","1,201","1,225","1,440","1,430","1,483","1,492","1,419","1,797","1,797","2,965"
45330,Used merchandise stores,875,777,888,891,862,848,754,846,873,920,907,972
454,Nonstore retailers,"23,280","21,965","25,117","21,171","22,671","21,909","20,515","23,323","22,304","24,580","26,329","31,179"
4541,Electronic shopping and mail-order houses,"15,811","14,531","17,046","15,024","16,071","15,795","14,768","16,897","16,050","17,497","19,037","23,724"
45431,Fuel dealers,"3,861","3,828","3,797","2,523","2,432","2,294","2,131","2,497","2,382","2,945","3,179","3,611"
722,Food services and drinking places,"32,394","31,634","35,840","35,141","36,167","35,771","36,298","36,640","35,439","35,820","33,839","37,803"
7224,Drinking places,"1,470","1,455","1,664","1,589","1,653","1,639","1,695","1,694","1,631","1,640","1,556","1,647"
7225,Restaurants and other eating places,"28,260","27,378","30,970","30,142","31,104","30,986","31,548","31,728","30,094","30,416","29,023","32,631"
722511,Full service restaurants,"14,514","14,020","15,680","15,287","15,737","15,651","15,940","16,064","15,414","15,480","14,939","17,365"
"722513, 722514, 722515",Limited service eating places,"13,746","13,358","15,290","14,855","15,367","15,335","15,608","15,664","14,680","14,936","14,084","15,266"
